name,total,Year,Month
8th Ave at 50th St,140804,2022,06
8th Ave at 50th St,132186,2022,07
8th Ave at 50th St,146873,2022,08
8th Ave at 50th St,94532,2022,09
8th Ave at 50th St,51601,2022,10
8th Ave at 50th St,36681,2022,11
8th Ave at 50th St,33447,2022,12
8th Ave at 50th St,31507,2023,01
8th Ave at 50th St,27944,2023,02
8th Ave at 50th St,29755,2023,03
Broadway at 50th St,4601,2019,12
Broadway at 50th St,1034,2020,01
Broadway at 50th St,0,2020,05
Broadway at 50th St,0,2020,06
Amsterdam Ave at 86th St,46140,2019,12
Amsterdam Ave at 86th St,40679,2020,01
Amsterdam Ave at 86th St,38283,2020,02
Amsterdam Ave at 86th St,37359,2020,03
Amsterdam Ave at 86th St,28826,2020,04
Amsterdam Ave at 86th St,45199,2020,05
Amsterdam Ave at 86th St,53438,2020,06
Amsterdam Ave at 86th St,64053,2020,07
Amsterdam Ave at 86th St,59731,2020,08
Amsterdam Ave at 86th St,60735,2020,09
Amsterdam Ave at 86th St,62633,2020,10
Amsterdam Ave at 86th St,65011,2020,11
Amsterdam Ave at 86th St,45440,2020,12
Amsterdam Ave at 86th St,48001,2021,01
Amsterdam Ave at 86th St,35773,2021,02
Amsterdam Ave at 86th St,48977,2021,03
Amsterdam Ave at 86th St,53786,2021,04
Amsterdam Ave at 86th St,59327,2021,05
Amsterdam Ave at 86th St,59582,2021,06
Amsterdam Ave at 86th St,56925,2021,07
Amsterdam Ave at 86th St,57819,2021,08
Amsterdam Ave at 86th St,71049,2021,09
Amsterdam Ave at 86th St,61046,2021,10
Amsterdam Ave at 86th St,68178,2021,11
Amsterdam Ave at 86th St,60553,2021,12
Amsterdam Ave at 86th St,51272,2022,01
Amsterdam Ave at 86th St,48688,2022,02
Amsterdam Ave at 86th St,53088,2022,03
Amsterdam Ave at 86th St,56771,2022,04
Amsterdam Ave at 86th St,59204,2022,05
Amsterdam Ave at 86th St,57178,2022,06
Amsterdam Ave at 86th St,61500,2022,07
Amsterdam Ave at 86th St,65916,2022,08
Amsterdam Ave at 86th St,63693,2022,09
Amsterdam Ave at 86th St,62737,2022,10
Amsterdam Ave at 86th St,58993,2022,11
Amsterdam Ave at 86th St,46425,2022,12
Amsterdam Ave at 86th St,53425,2023,01
Amsterdam Ave at 86th St,49960,2023,02
Amsterdam Ave at 86th St,58730,2023,03
Columbus Ave at 86th St,27380,2019,12
Columbus Ave at 86th St,32733,2020,01
Columbus Ave at 86th St,30930,2020,02
Columbus Ave at 86th St,30503,2020,03
Columbus Ave at 86th St,23030,2020,04
Columbus Ave at 86th St,38531,2020,05
Columbus Ave at 86th St,45095,2020,06
Columbus Ave at 86th St,47457,2020,07
Columbus Ave at 86th St,51130,2020,08
Columbus Ave at 86th St,54782,2020,09
Columbus Ave at 86th St,55595,2020,10
Columbus Ave at 86th St,48741,2020,11
Columbus Ave at 86th St,38364,2020,12
Columbus Ave at 86th St,40131,2021,01
Columbus Ave at 86th St,26644,2021,02
Columbus Ave at 86th St,41592,2021,03
Columbus Ave at 86th St,47180,2021,04
Columbus Ave at 86th St,51958,2021,05
Columbus Ave at 86th St,51825,2021,06
Columbus Ave at 86th St,47331,2021,07
Columbus Ave at 86th St,46913,2021,08
Columbus Ave at 86th St,50690,2021,09
Columbus Ave at 86th St,50681,2021,10
Columbus Ave at 86th St,44419,2021,11
Columbus Ave at 86th St,40386,2021,12
Columbus Ave at 86th St,32969,2022,01
Columbus Ave at 86th St,33756,2022,02
Columbus Ave at 86th St,42555,2022,03
Columbus Ave at 86th St,46761,2022,04
Columbus Ave at 86th St,51991,2022,05
Columbus Ave at 86th St,52619,2022,06
Columbus Ave at 86th St,51254,2022,07
Columbus Ave at 86th St,53246,2022,08
Columbus Ave at 86th St,52309,2022,09
Columbus Ave at 86th St,50293,2022,10
Columbus Ave at 86th St,48303,2022,11
Columbus Ave at 86th St,39040,2022,12
Columbus Ave at 86th St,41439,2023,01
Columbus Ave at 86th St,39046,2023,02
Columbus Ave at 86th St,40228,2023,03
Manhattan Bridge Bike Comprehensive,4725,2012,08
Manhattan Bridge Bike Comprehensive,121957,2012,09
Manhattan Bridge Bike Comprehensive,104515,2012,10
Manhattan Bridge Bike Comprehensive,115059,2012,11
Manhattan Bridge Bike Comprehensive,56831,2012,12
Manhattan Bridge Bike Comprehensive,13582,2013,01
Manhattan Bridge Bike Comprehensive,41501,2013,12
Manhattan Bridge Bike Comprehensive,32873,2014,01
Manhattan Bridge Bike Comprehensive,24676,2014,02
Manhattan Bridge Bike Comprehensive,56659,2014,03
Manhattan Bridge Bike Comprehensive,108965,2014,04
Manhattan Bridge Bike Comprehensive,146262,2014,05
Manhattan Bridge Bike Comprehensive,158570,2014,06
Manhattan Bridge Bike Comprehensive,158102,2014,07
Manhattan Bridge Bike Comprehensive,165104,2014,08
Manhattan Bridge Bike Comprehensive,161397,2014,09
Manhattan Bridge Bike Comprehensive,136254,2014,10
Manhattan Bridge Bike Comprehensive,79791,2014,11
Manhattan Bridge Bike Comprehensive,55044,2014,12
Manhattan Bridge Bike Comprehensive,34361,2015,01
Manhattan Bridge Bike Comprehensive,18995,2015,02
Manhattan Bridge Bike Comprehensive,50339,2015,03
Manhattan Bridge Bike Comprehensive,121484,2015,04
Manhattan Bridge Bike Comprehensive,175810,2015,05
Manhattan Bridge Bike Comprehensive,149593,2015,06
Manhattan Bridge Bike Comprehensive,161674,2015,07
Manhattan Bridge Bike Comprehensive,167811,2015,08
Manhattan Bridge Bike Comprehensive,161808,2015,09
Manhattan Bridge Bike Comprehensive,133530,2015,10
Manhattan Bridge Bike Comprehensive,103075,2015,11
Manhattan Bridge Bike Comprehensive,76119,2015,12
Manhattan Bridge Bike Comprehensive,46017,2016,01
Manhattan Bridge Bike Comprehensive,49091,2016,02
Manhattan Bridge Bike Comprehensive,102377,2016,03
Manhattan Bridge Bike Comprehensive,116938,2016,04
Manhattan Bridge Bike Comprehensive,138758,2016,05
Manhattan Bridge Bike Comprehensive,174338,2016,06
Manhattan Bridge Bike Comprehensive,148355,2016,07
Manhattan Bridge Bike Comprehensive,157249,2016,08
Manhattan Bridge Bike Comprehensive,166634,2016,09
Manhattan Bridge Bike Comprehensive,140427,2016,10
Manhattan Bridge Bike Comprehensive,102012,2016,11
Manhattan Bridge Bike Comprehensive,60959,2016,12
Manhattan Bridge Bike Comprehensive,54874,2017,01
Manhattan Bridge Bike Comprehensive,67748,2017,02
Manhattan Bridge Bike Comprehensive,59432,2017,03
Manhattan Bridge Bike Comprehensive,125235,2017,04
Manhattan Bridge Bike Comprehensive,147692,2017,05
Manhattan Bridge Bike Comprehensive,166715,2017,06
Manhattan Bridge Bike Comprehensive,160719,2017,07
Manhattan Bridge Bike Comprehensive,169671,2017,08
Manhattan Bridge Bike Comprehensive,168731,2017,09
Manhattan Bridge Bike Comprehensive,156738,2017,10
Manhattan Bridge Bike Comprehensive,101328,2017,11
Manhattan Bridge Bike Comprehensive,61146,2017,12
Manhattan Bridge Bike Comprehensive,47660,2018,01
Manhattan Bridge Bike Comprehensive,61260,2018,02
Manhattan Bridge Bike Comprehensive,66667,2018,03
Manhattan Bridge Bike Comprehensive,103201,2018,04
Manhattan Bridge Bike Comprehensive,165118,2018,05
Manhattan Bridge Bike Comprehensive,167178,2018,06
Manhattan Bridge Bike Comprehensive,152384,2018,07
Manhattan Bridge Bike Comprehensive,152226,2018,08
Manhattan Bridge Bike Comprehensive,136711,2018,09
Manhattan Bridge Bike Comprehensive,144651,2018,10
Manhattan Bridge Bike Comprehensive,84194,2018,11
Manhattan Bridge Bike Comprehensive,64883,2018,12
Manhattan Bridge Bike Comprehensive,59462,2019,01
Manhattan Bridge Bike Comprehensive,57236,2019,02
Manhattan Bridge Bike Comprehensive,83491,2019,03
Manhattan Bridge Bike Comprehensive,129396,2019,04
Manhattan Bridge Bike Comprehensive,133921,2019,05
Manhattan Bridge Bike Comprehensive,137100,2019,06
Manhattan Bridge Bike Comprehensive,143607,2019,07
Manhattan Bridge Bike Comprehensive,153621,2019,08
Manhattan Bridge Bike Comprehensive,160866,2019,09
Manhattan Bridge Bike Comprehensive,129664,2019,10
Manhattan Bridge Bike Comprehensive,92170,2019,11
Manhattan Bridge Bike Comprehensive,51472,2019,12
Manhattan Bridge Bike Comprehensive,75863,2020,01
Manhattan Bridge Bike Comprehensive,65992,2020,02
Manhattan Bridge Bike Comprehensive,87910,2020,03
Manhattan Bridge Bike Comprehensive,56737,2020,04
Manhattan Bridge Bike Comprehensive,118842,2020,05
Manhattan Bridge Bike Comprehensive,161317,2020,06
Manhattan Bridge Bike Comprehensive,166917,2020,07
Manhattan Bridge Bike Comprehensive,179371,2020,08
Manhattan Bridge Bike Comprehensive,199221,2020,09
Manhattan Bridge Bike Comprehensive,175803,2020,10
Manhattan Bridge Bike Comprehensive,136032,2020,11
Manhattan Bridge Bike Comprehensive,82544,2020,12
Manhattan Bridge Bike Comprehensive,81689,2021,01
Manhattan Bridge Bike Comprehensive,42539,2021,02
Manhattan Bridge Bike Comprehensive,108486,2021,03
Manhattan Bridge Bike Comprehensive,134557,2021,04
Manhattan Bridge Bike Comprehensive,167476,2021,05
Manhattan Bridge Bike Comprehensive,181998,2021,06
Manhattan Bridge Bike Comprehensive,166415,2021,07
Manhattan Bridge Bike Comprehensive,168633,2021,08
Manhattan Bridge Bike Comprehensive,183003,2021,09
Manhattan Bridge Bike Comprehensive,165068,2021,10
Manhattan Bridge Bike Comprehensive,119039,2021,11
Manhattan Bridge Bike Comprehensive,94152,2021,12
Manhattan Bridge Bike Comprehensive,56184,2022,01
Manhattan Bridge Bike Comprehensive,67959,2022,02
Manhattan Bridge Bike Comprehensive,107571,2022,03
Manhattan Bridge Bike Comprehensive,133735,2022,04
Manhattan Bridge Bike Comprehensive,157650,2022,05
Manhattan Bridge Bike Comprehensive,174993,2022,06
Manhattan Bridge Bike Comprehensive,171824,2022,07
Manhattan Bridge Bike Comprehensive,184333,2022,08
Manhattan Bridge Bike Comprehensive,182313,2022,09
Manhattan Bridge Bike Comprehensive,149474,2022,10
Manhattan Bridge Bike Comprehensive,122173,2022,11
Manhattan Bridge Bike Comprehensive,75480,2022,12
Manhattan Bridge Bike Comprehensive,90524,2023,01
Manhattan Bridge Bike Comprehensive,85709,2023,02
Manhattan Bridge Bike Comprehensive,101894,2023,03
Brooklyn Bridge Bicycle Path (Roadway),73141,2021,09
Brooklyn Bridge Bicycle Path (Roadway),113609,2021,10
Brooklyn Bridge Bicycle Path (Roadway),75343,2021,11
Brooklyn Bridge Bicycle Path (Roadway),46737,2021,12
Brooklyn Bridge Bicycle Path (Roadway),16881,2022,01
Brooklyn Bridge Bicycle Path (Roadway),104603,2022,02
Brooklyn Bridge Bicycle Path (Roadway),61073,2022,03
Brooklyn Bridge Bicycle Path (Roadway),83581,2022,04
Brooklyn Bridge Bicycle Path (Roadway),109151,2022,05
Brooklyn Bridge Bicycle Path (Roadway),122680,2022,06
Brooklyn Bridge Bicycle Path (Roadway),121886,2022,07
Brooklyn Bridge Bicycle Path (Roadway),129608,2022,08
Brooklyn Bridge Bicycle Path (Roadway),108968,2022,09
Brooklyn Bridge Bicycle Path (Roadway),92516,2022,10
Brooklyn Bridge Bicycle Path (Roadway),74868,2022,11
Brooklyn Bridge Bicycle Path (Roadway),42776,2022,12
Brooklyn Bridge Bicycle Path (Roadway),51699,2023,01
Brooklyn Bridge Bicycle Path (Roadway),50865,2023,02
Brooklyn Bridge Bicycle Path (Roadway),67738,2023,03
Comprehensive Brooklyn Bridge Counter,8221,2013,12
Comprehensive Brooklyn Bridge Counter,14585,2014,01
Comprehensive Brooklyn Bridge Counter,10517,2014,02
Comprehensive Brooklyn Bridge Counter,28579,2014,03
Comprehensive Brooklyn Bridge Counter,63420,2014,04
Comprehensive Brooklyn Bridge Counter,90961,2014,05
Comprehensive Brooklyn Bridge Counter,95580,2014,06
Comprehensive Brooklyn Bridge Counter,94263,2014,07
Comprehensive Brooklyn Bridge Counter,98399,2014,08
Comprehensive Brooklyn Bridge Counter,40822,2014,09
Comprehensive Brooklyn Bridge Counter,0,2014,10
Comprehensive Brooklyn Bridge Counter,0,2014,11
Comprehensive Brooklyn Bridge Counter,12739,2014,12
Comprehensive Brooklyn Bridge Counter,14563,2015,01
Comprehensive Brooklyn Bridge Counter,7744,2015,02
Comprehensive Brooklyn Bridge Counter,24137,2015,03
Comprehensive Brooklyn Bridge Counter,63999,2015,04
Comprehensive Brooklyn Bridge Counter,104928,2015,05
Comprehensive Brooklyn Bridge Counter,87085,2015,06
Comprehensive Brooklyn Bridge Counter,100731,2015,07
Comprehensive Brooklyn Bridge Counter,112621,2015,08
Comprehensive Brooklyn Bridge Counter,101522,2015,09
Comprehensive Brooklyn Bridge Counter,76977,2015,10
Comprehensive Brooklyn Bridge Counter,56406,2015,11
Comprehensive Brooklyn Bridge Counter,41284,2015,12
Comprehensive Brooklyn Bridge Counter,23133,2016,01
Comprehensive Brooklyn Bridge Counter,25331,2016,02
Comprehensive Brooklyn Bridge Counter,57867,2016,03
Comprehensive Brooklyn Bridge Counter,68096,2016,04
Comprehensive Brooklyn Bridge Counter,84513,2016,05
Comprehensive Brooklyn Bridge Counter,108407,2016,06
Comprehensive Brooklyn Bridge Counter,115010,2016,07
Comprehensive Brooklyn Bridge Counter,106061,2016,08
Comprehensive Brooklyn Bridge Counter,90605,2016,09
Comprehensive Brooklyn Bridge Counter,76111,2016,10
Comprehensive Brooklyn Bridge Counter,52504,2016,11
Comprehensive Brooklyn Bridge Counter,28363,2016,12
Comprehensive Brooklyn Bridge Counter,23689,2017,01
Comprehensive Brooklyn Bridge Counter,31324,2017,02
Comprehensive Brooklyn Bridge Counter,27589,2017,03
Comprehensive Brooklyn Bridge Counter,67506,2017,04
Comprehensive Brooklyn Bridge Counter,75995,2017,05
Comprehensive Brooklyn Bridge Counter,82716,2017,06
Comprehensive Brooklyn Bridge Counter,85443,2017,07
Comprehensive Brooklyn Bridge Counter,94882,2017,08
Comprehensive Brooklyn Bridge Counter,86874,2017,09
Comprehensive Brooklyn Bridge Counter,80153,2017,10
Comprehensive Brooklyn Bridge Counter,46525,2017,11
Comprehensive Brooklyn Bridge Counter,27546,2017,12
Comprehensive Brooklyn Bridge Counter,20519,2018,01
Comprehensive Brooklyn Bridge Counter,28768,2018,02
Comprehensive Brooklyn Bridge Counter,31315,2018,03
Comprehensive Brooklyn Bridge Counter,51776,2018,04
Comprehensive Brooklyn Bridge Counter,88855,2018,05
Comprehensive Brooklyn Bridge Counter,84022,2018,06
Comprehensive Brooklyn Bridge Counter,85611,2018,07
Comprehensive Brooklyn Bridge Counter,89836,2018,08
Comprehensive Brooklyn Bridge Counter,74181,2018,09
Comprehensive Brooklyn Bridge Counter,68903,2018,10
Comprehensive Brooklyn Bridge Counter,33808,2018,11
Comprehensive Brooklyn Bridge Counter,23378,2018,12
Comprehensive Brooklyn Bridge Counter,20860,2019,01
Comprehensive Brooklyn Bridge Counter,20561,2019,02
Comprehensive Brooklyn Bridge Counter,30487,2019,03
Comprehensive Brooklyn Bridge Counter,57160,2019,04
Comprehensive Brooklyn Bridge Counter,62291,2019,05
Comprehensive Brooklyn Bridge Counter,63180,2019,06
Comprehensive Brooklyn Bridge Counter,66632,2019,07
Comprehensive Brooklyn Bridge Counter,76520,2019,08
Comprehensive Brooklyn Bridge Counter,71835,2019,09
Comprehensive Brooklyn Bridge Counter,54994,2019,10
Comprehensive Brooklyn Bridge Counter,32892,2019,11
Comprehensive Brooklyn Bridge Counter,16140,2019,12
Comprehensive Brooklyn Bridge Counter,23901,2020,01
Comprehensive Brooklyn Bridge Counter,21331,2020,02
Comprehensive Brooklyn Bridge Counter,31730,2020,03
Comprehensive Brooklyn Bridge Counter,26809,2020,04
Comprehensive Brooklyn Bridge Counter,57215,2020,05
Comprehensive Brooklyn Bridge Counter,66548,2020,06
Comprehensive Brooklyn Bridge Counter,60196,2020,07
Comprehensive Brooklyn Bridge Counter,65570,2020,08
Comprehensive Brooklyn Bridge Counter,70749,2020,09
Comprehensive Brooklyn Bridge Counter,58944,2020,10
Comprehensive Brooklyn Bridge Counter,44208,2020,11
Comprehensive Brooklyn Bridge Counter,23450,2020,12
Comprehensive Brooklyn Bridge Counter,23654,2021,01
Comprehensive Brooklyn Bridge Counter,10897,2021,02
Comprehensive Brooklyn Bridge Counter,34698,2021,03
Comprehensive Brooklyn Bridge Counter,46198,2021,04
Comprehensive Brooklyn Bridge Counter,62302,2021,05
Comprehensive Brooklyn Bridge Counter,67370,2021,06
Comprehensive Brooklyn Bridge Counter,59012,2021,07
Comprehensive Brooklyn Bridge Counter,59274,2021,08
Comprehensive Brooklyn Bridge Counter,98264,2021,09
Comprehensive Brooklyn Bridge Counter,113609,2021,10
Comprehensive Brooklyn Bridge Counter,75343,2021,11
Comprehensive Brooklyn Bridge Counter,46737,2021,12
Comprehensive Brooklyn Bridge Counter,16881,2022,01
Comprehensive Brooklyn Bridge Counter,104603,2022,02
Comprehensive Brooklyn Bridge Counter,61073,2022,03
Comprehensive Brooklyn Bridge Counter,83581,2022,04
Comprehensive Brooklyn Bridge Counter,109151,2022,05
Comprehensive Brooklyn Bridge Counter,122680,2022,06
Comprehensive Brooklyn Bridge Counter,121886,2022,07
Comprehensive Brooklyn Bridge Counter,129608,2022,08
Comprehensive Brooklyn Bridge Counter,108968,2022,09
Comprehensive Brooklyn Bridge Counter,92516,2022,10
Comprehensive Brooklyn Bridge Counter,74868,2022,11
Comprehensive Brooklyn Bridge Counter,42776,2022,12
Comprehensive Brooklyn Bridge Counter,51699,2023,01
Comprehensive Brooklyn Bridge Counter,50865,2023,02
Comprehensive Brooklyn Bridge Counter,67738,2023,03
